,EMA_14,Date
0,11384.702,2020-08-04 10:15:00
1,11381.368,2020-08-04 10:20:00
2,11380.721,2020-08-04 10:25:00
3,11379.954,2020-08-04 10:30:00
4,11377.826,2020-08-04 10:35:00
5,11376.391,2020-08-04 10:40:00
6,11374.694,2020-08-04 10:45:00
7,11372.419,2020-08-04 10:50:00
8,11368.437,2020-08-04 10:55:00
9,11365.589,2020-08-04 11:00:00
10,11362.143,2020-08-04 11:05:00
11,11362.366,2020-08-04 11:10:00
12,11366.268,2020-08-04 11:15:00
13,11370.426,2020-08-04 11:20:00
14,11373.104,2020-08-04 11:25:00
15,11373.956,2020-08-04 11:30:00
16,11376.377,2020-08-04 11:35:00
17,11379.893,2020-08-04 11:40:00
18,11382.692,2020-08-04 11:45:00
19,11385.15,2020-08-04 11:50:00
20,11388.723,2020-08-04 11:55:00
21,11394.174,2020-08-04 12:00:00
22,11402.234,2020-08-04 12:05:00
23,11408.154,2020-08-04 12:10:00
24,11413.359,2020-08-04 12:15:00
25,11417.132,2020-08-04 12:20:00
26,11417.814,2020-08-04 12:25:00
27,11414.857,2020-08-04 12:30:00
28,11410.048,2020-08-04 12:35:00
29,11404.608,2020-08-04 12:40:00
30,11401.75,2020-08-04 12:45:00
31,11401.527,2020-08-04 12:50:00
32,11404.58,2020-08-04 12:55:00
33,11406.001,2020-08-04 13:00:00
34,11406.863,2020-08-04 13:05:00
35,11407.215,2020-08-04 13:10:00
36,11405.222,2020-08-04 13:15:00
37,11400.688,2020-08-04 13:20:00
38,11397.357,2020-08-04 13:25:00
39,11393.794,2020-08-04 13:30:00
40,11390.936,2020-08-04 13:35:00
41,11387.655,2020-08-04 13:40:00
42,11385.709,2020-08-04 13:45:00
43,11388.704,2020-08-04 13:50:00
44,11395.33,2020-08-04 13:55:00
45,11400.472,2020-08-04 14:00:00
46,11403.099,2020-08-04 14:05:00
47,11405.159,2020-08-04 14:10:00
48,11406.134,2020-08-04 14:15:00
49,11408.12,2020-08-04 14:20:00
50,11409.025,2020-08-04 14:25:00
51,11410.959,2020-08-04 14:30:00
52,11415.227,2020-08-04 14:35:00
53,11423.435,2020-08-04 14:40:00
54,11433.711,2020-08-04 14:45:00
55,11442.675,2020-08-04 14:50:00
56,11448.567,2020-08-04 14:55:00
57,11454.13,2020-08-04 15:00:00
58,11458.508,2020-08-04 15:05:00
59,11460.749,2020-08-04 15:10:00
60,11462.009,2020-08-04 15:15:00
61,11462.81,2020-08-04 15:20:00
62,11467.193,2020-08-04 15:25:00
63,11473.73,2020-08-04 15:30:00
64,11480.567,2020-08-04 15:35:00
65,11484.332,2020-08-04 15:40:00
66,11486.318,2020-08-04 15:45:00
67,11489.73,2020-08-04 15:50:00
68,11493.943,2020-08-04 15:55:00
69,11495.716,2020-08-04 16:00:00
70,11496.468,2020-08-04 16:05:00
71,11497.416,2020-08-04 16:10:00
72,11500.308,2020-08-04 16:15:00
73,11504.78,2020-08-04 16:20:00
74,11512.156,2020-08-04 16:25:00
75,11515.712,2020-08-04 16:30:00
76,11516.819,2020-08-04 16:35:00
77,11516.662,2020-08-04 16:40:00
78,11516.779,2020-08-04 16:45:00
79,11515.92,2020-08-04 16:50:00
80,11510.509,2020-08-04 16:55:00
81,11496.836,2020-08-04 17:00:00
82,11481.161,2020-08-04 17:05:00
83,11466.974,2020-08-04 17:10:00
84,11450.869,2020-08-04 17:15:00
85,11437.216,2020-08-04 17:20:00
86,11424.798,2020-08-04 17:25:00
87,11413.66,2020-08-04 17:30:00
88,11404.084,2020-08-04 17:35:00
89,11395.379,2020-08-04 17:40:00
90,11388.253,2020-08-04 17:45:00
91,11378.244,2020-08-04 17:50:00
92,11367.47,2020-08-04 17:55:00
93,11355.297,2020-08-04 18:00:00
94,11348.161,2020-08-04 18:05:00
95,11345.507,2020-08-04 18:10:00
96,11343.356,2020-08-04 18:15:00
97,11341.335,2020-08-04 18:20:00
98,11338.929,2020-08-04 18:25:00
99,11339.615,2020-08-04 18:30:00
100,11340.972,2020-08-04 18:35:00
101,11343.748,2020-08-04 18:40:00
102,11348.565,2020-08-04 18:45:00
103,11355.737,2020-08-04 18:50:00
104,11360.137,2020-08-04 18:55:00
105,11361.861,2020-08-04 19:00:00
106,11362.14,2020-08-04 19:05:00
107,11361.464,2020-08-04 19:10:00
108,11356.332,2020-08-04 19:15:00
109,11359.423,2020-08-04 19:20:00
110,11367.56,2020-08-04 19:25:00
111,11375.416,2020-08-04 19:30:00
112,11382.538,2020-08-04 19:35:00
113,11394.811,2020-08-04 19:40:00
114,11406.91,2020-08-04 19:45:00
115,11420.192,2020-08-04 19:50:00
116,11433.1,2020-08-04 19:55:00
117,11442.451,2020-08-04 20:00:00
118,11453.95,2020-08-04 20:05:00
119,11465.738,2020-08-04 20:10:00
120,11475.82,2020-08-04 20:15:00
121,11482.953,2020-08-04 20:20:00
122,11490.188,2020-08-04 20:25:00
123,11495.478,2020-08-04 20:30:00
124,11500.811,2020-08-04 20:35:00
125,11504.937,2020-08-04 20:40:00
126,11510.386,2020-08-04 20:45:00
127,11517.101,2020-08-04 20:50:00
128,11524.251,2020-08-04 20:55:00
129,11532.53,2020-08-04 21:00:00
130,11540.301,2020-08-04 21:05:00
131,11546.588,2020-08-04 21:10:00
132,11552.036,2020-08-04 21:15:00
133,11556.078,2020-08-04 21:20:00
134,11557.823,2020-08-04 21:25:00
135,11555.853,2020-08-04 21:30:00
136,11553.428,2020-08-04 21:35:00
137,11551.295,2020-08-04 21:40:00
138,11549.193,2020-08-04 21:45:00
139,11546.916,2020-08-04 21:50:00
140,11546.303,2020-08-04 21:55:00
141,11545.82,2020-08-04 22:00:00
142,11546.8545,2020-08-04 22:05:00
143,11550.716,2020-08-04 22:10:00
144,11556.533,2020-08-04 22:15:00
145,11561.216,2020-08-04 22:20:00
146,11564.861,2020-08-04 22:25:00
147,11567.454,2020-08-04 22:30:00
148,11567.581,2020-08-04 22:35:00
149,11568.195,2020-08-04 22:40:00
150,11567.96,2020-08-04 22:45:00
151,11567.5205,2020-08-04 22:50:00
152,11567.856,2020-08-04 22:55:00
153,11567.744,2020-08-04 23:00:00
154,11569.289,2020-08-04 23:05:00
155,11572.71,2020-08-04 23:10:00
156,11577.68,2020-08-04 23:15:00
157,11579.783,2020-08-04 23:20:00
158,11581.536,2020-08-04 23:25:00
159,11582.961,2020-08-04 23:30:00
160,11584.118,2020-08-04 23:35:00
161,11584.254,2020-08-04 23:40:00
162,11583.5625,2020-08-04 23:45:00
163,11581.745,2020-08-04 23:50:00
164,11580.38,2020-08-04 23:55:00
165,11579.2,2020-08-05 00:00:00
166,11576.528,2020-08-05 00:05:00
167,11571.832,2020-08-05 00:10:00
168,11564.836,2020-08-05 00:15:00
169,11562.45,2020-08-05 00:20:00
170,11563.803,2020-08-05 00:25:00
171,11567.344,2020-08-05 00:30:00
172,11570.726,2020-08-05 00:35:00
173,11576.11,2020-08-05 00:40:00
174,11580.133,2020-08-05 00:45:00
175,11583.671,2020-08-05 00:50:00
176,11587.728,2020-08-05 00:55:00
177,11590.297,2020-08-05 01:00:00
178,11591.17,2020-08-05 01:05:00
179,11591.35,2020-08-05 01:10:00
180,11590.294,2020-08-05 01:15:00
181,11587.6,2020-08-05 01:20:00
182,11584.501,2020-08-05 01:25:00
183,11580.963,2020-08-05 01:30:00
184,11572.78,2020-08-05 01:35:00
185,11565.5205,2020-08-05 01:40:00
186,11559.616,2020-08-05 01:45:00
187,11552.666,2020-08-05 01:50:00
188,11546.731,2020-08-05 01:55:00
189,11541.78,2020-08-05 02:00:00
190,11537.916,2020-08-05 02:05:00
191,11530.91,2020-08-05 02:10:00
192,11519.641,2020-08-05 02:15:00
193,11507.224,2020-08-05 02:20:00
194,11495.374,2020-08-05 02:25:00
195,11487.269,2020-08-05 02:30:00
196,11481.442,2020-08-05 02:35:00
197,11480.264,2020-08-05 02:40:00
198,11478.565,2020-08-05 02:45:00
199,11475.631,2020-08-05 02:50:00
200,11473.271,2020-08-05 02:55:00
201,11468.831,2020-08-05 03:00:00
202,11464.329,2020-08-05 03:05:00
203,11458.11,2020-08-05 03:10:00
204,11451.727,2020-08-05 03:15:00
205,11445.939,2020-08-05 03:20:00
206,11440.732,2020-08-05 03:25:00
207,11434.973,2020-08-05 03:30:00
208,11427.634,2020-08-05 03:35:00
209,11421.662,2020-08-05 03:40:00
210,11415.972,2020-08-05 03:45:00
211,11408.784,2020-08-05 03:50:00
212,11402.451,2020-08-05 03:55:00
213,11396.745,2020-08-05 04:00:00
214,11392.054,2020-08-05 04:05:00
215,11386.226,2020-08-05 04:10:00
216,11379.512,2020-08-05 04:15:00
217,11374.603,2020-08-05 04:20:00
218,11369.637,2020-08-05 04:25:00
219,11365.449,2020-08-05 04:30:00
220,11361.506,2020-08-05 04:35:00
221,11357.005,2020-08-05 04:40:00
222,11351.0625,2020-08-05 04:45:00
223,11347.292,2020-08-05 04:50:00
224,11343.165,2020-08-05 04:55:00
225,11340.605,2020-08-05 05:00:00
226,11339.122,2020-08-05 05:05:00
227,11337.819,2020-08-05 05:10:00
228,11337.969,2020-08-05 05:15:00
229,11338.055,2020-08-05 05:20:00
230,11338.223,2020-08-05 05:25:00
231,11339.232,2020-08-05 05:30:00
232,11339.027,2020-08-05 05:35:00
233,11338.391,2020-08-05 05:40:00
234,11337.652,2020-08-05 05:45:00
235,11336.276,2020-08-05 05:50:00
236,11332.73,2020-08-05 05:55:00
237,11329.864,2020-08-05 06:00:00
238,11328.504,2020-08-05 06:05:00
239,11326.564,2020-08-05 06:10:00
240,11325.098,2020-08-05 06:15:00
241,11322.964,2020-08-05 06:20:00
242,11320.171,2020-08-05 06:25:00
243,11316.851,2020-08-05 06:30:00
244,11313.859,2020-08-05 06:35:00
245,11311.613,2020-08-05 06:40:00
246,11309.526,2020-08-05 06:45:00
247,11307.383,2020-08-05 06:50:00
248,11304.835,2020-08-05 06:55:00
249,11302.269,2020-08-05 07:00:00
250,11298.268,2020-08-05 07:05:00
251,11293.774,2020-08-05 07:10:00
252,11288.747,2020-08-05 07:15:00
253,11286.163,2020-08-05 07:20:00
254,11285.479,2020-08-05 07:25:00
255,11286.588,2020-08-05 07:30:00
256,11287.548,2020-08-05 07:35:00
257,11288.022,2020-08-05 07:40:00
258,11288.134,2020-08-05 07:45:00
259,11288.286,2020-08-05 07:50:00
260,11289.551,2020-08-05 07:55:00
261,11291.863,2020-08-05 08:00:00
262,11295.881,2020-08-05 08:05:00
263,11299.137,2020-08-05 08:10:00
264,11301.4795,2020-08-05 08:15:00
265,11303.298,2020-08-05 08:20:00
266,11305.581,2020-08-05 08:25:00
267,11307.633,2020-08-05 08:30:00
268,11309.445,2020-08-05 08:35:00
269,11312.937,2020-08-05 08:40:00
270,11315.588,2020-08-05 08:45:00
271,11319.366,2020-08-05 08:50:00
272,11322.1875,2020-08-05 08:55:00
273,11323.658,2020-08-05 09:00:00
274,11323.107,2020-08-05 09:05:00
275,11320.831,2020-08-05 09:10:00
276,11319.579,2020-08-05 09:15:00
277,11318.457,2020-08-05 09:20:00
278,11318.798,2020-08-05 09:25:00
279,11320.647,2020-08-05 09:30:00
280,11322.703,2020-08-05 09:35:00
281,11324.006,2020-08-05 09:40:00
282,11326.171,2020-08-05 09:45:00
283,11327.768,2020-08-05 09:50:00
284,11328.896,2020-08-05 09:55:00
285,11329.424,2020-08-05 10:00:00
286,11328.618,2020-08-05 10:05:00
287,11327.2,2020-08-05 10:10:00
